path,bytes,dimensions,mode
README.md,1650,,
android-chrome-192x192.png,20358,192x192,RGBA
android-chrome-512x512.png,108646,512x512,RGBA
apple-touch-icon.png,16155,180x180,RGBA
brand/brand-guide.md,1503,,
brand/brand-palette.json,878,,
brand/brand-tokens.css,586,,
brand/logo-usage.md,556,,
browserconfig.xml,411,,
favicon.ico,55714,256x256,RGBA
favicon.svg,157697,,
favicons/android-chrome-192x192.png,20358,192x192,RGBA
favicons/android-chrome-512x512.png,108646,512x512,RGBA
favicons/apple-touch-icon-precomposed.png,16155,180x180,RGBA
favicons/apple-touch-icon.png,16155,180x180,RGBA
favicons/favicon-1024x1024.png,409185,1024x1024,RGBA
favicons/favicon-114x114.png,9317,114x114,RGBA
favicons/favicon-120x120.png,10198,120x120,RGBA
favicons/favicon-128x128.png,11168,128x128,RGBA
favicons/favicon-144x144.png,13791,144x144,RGBA
favicons/favicon-150x150.png,14661,150x150,RGBA
favicons/favicon-152x152.png,14835,152x152,RGBA
favicons/favicon-167x167.png,17554,167x167,RGBA
favicons/favicon-16x16.png,687,16x16,RGBA
favicons/favicon-180x180.png,20011,180x180,RGBA
favicons/favicon-192x192.png,22236,192x192,RGBA
favicons/favicon-24x24.png,1216,24x24,RGBA
favicons/favicon-256x256.png,35464,256x256,RGBA
favicons/favicon-32x32.png,1799,32x32,RGBA
favicons/favicon-36x36.png,2102,36x36,RGBA
favicons/favicon-384x384.png,69520,384x384,RGBA
favicons/favicon-48x48.png,2811,48x48,RGBA
favicons/favicon-512x512.png,118018,512x512,RGBA
favicons/favicon-57x57.png,3544,57x57,RGBA
favicons/favicon-60x60.png,3673,60x60,RGBA
favicons/favicon-64x64.png,4064,64x64,RGBA
favicons/favicon-70x70.png,4599,70x70,RGBA
favicons/favicon-72x72.png,4688,72x72,RGBA
favicons/favicon-76x76.png,5083,76x76,RGBA
favicons/favicon-96x96.png,7125,96x96,RGBA
favicons/favicon.ico,55714,256x256,RGBA
favicons/favicon.svg,157697,,
favicons/maskable-icon-192x192.png,13244,192x192,RGBA
favicons/maskable-icon-512x512.png,63652,512x512,RGBA
favicons/mstile-144x144.png,9801,144x144,RGBA
favicons/mstile-150x150.png,10393,150x150,RGBA
favicons/mstile-310x150.png,11824,310x150,RGBA
favicons/mstile-310x310.png,31345,310x310,RGBA
favicons/mstile-70x70.png,3663,70x70,RGBA
favicons/safari-pinned-tab.svg,572,,
install/html-head-snippet.html,1808,,
install/nextjs-metadata-example.ts,1110,,
logo/icon/4626fun-icon-on-dark-1024.png,308815,1024x1024,RGBA
logo/icon/4626fun-icon-on-warm-ivory-1024.png,295869,1024x1024,RGBA
logo/icon/4626fun-icon-transparent-1024.png,348717,1024x1024,RGBA
logo/icon/4626fun-icon-transparent-128.png,10512,128x128,RGBA
logo/icon/4626fun-icon-transparent-256.png,33058,256x256,RGBA
logo/icon/4626fun-icon-transparent-512.png,108646,512x512,RGBA
logo/icon/4626fun-icon-transparent-source-cleaned-500.png,71791,500x500,RGBA
logo/icon/4626fun-icon-transparent-trimmed.png,66670,310x375,RGBA
logo/lockups/4626fun-horizontal-lockup-light-2048x1152.png,2346490,2048x1152,RGBA
logo/lockups/4626fun-horizontal-lockup-transparent-canvas-2048x1152.png,414425,2048x1152,RGBA
logo/lockups/4626fun-horizontal-lockup-transparent-trimmed.png,388395,1864x585,RGBA
logo/lockups/4626fun-stacked-lockup-light-2048x2048.png,3767876,2048x2048,RGBA
logo/lockups/4626fun-stacked-lockup-transparent-canvas-2048x2048.png,714742,2048x2048,RGBA
logo/lockups/4626fun-stacked-lockup-transparent-trimmed.png,675128,1722x1404,RGBA
logo/svg/4626fun-horizontal-lockup.svg,552952,,
logo/svg/4626fun-icon.svg,465329,,
logo/svg/4626fun-mask-icon.svg,572,,
logo/svg/4626fun-stacked-lockup.svg,953370,,
manifests/asset-manifest.csv,5576,,
manifests/asset-manifest.json,13254,,
pwa/browserconfig.xml,411,,
pwa/site.webmanifest,836,,
seo/meta-tags.html,1808,,
seo/organization-structured-data.json,332,,
seo/robots.txt,62,,
seo/sitemap.xml,189,,
site.webmanifest,836,,
social/facebook-cover-1640x924.png,264916,1640x924,RGBA
social/linkedin-cover-1584x396.png,190747,1584x396,RGBA
social/og-image-1200x630.png,785827,1200x630,RGBA
social/og-image-dark-1200x630.png,164243,1200x630,RGBA
social/og-image-square-1200x1200.png,1489357,1200x1200,RGBA
social/og-transparent-lockup-1200x630.png,188283,1200x630,RGBA
social/og-transparent-stacked-1200x1200.png,318476,1200x1200,RGBA
social/social-avatar-dark-1080x1080.png,234784,1080x1080,RGBA
social/social-preview-16x9-1600x900.png,254252,1600x900,RGBA
social/social-preview-16x9-1920x1080.png,345302,1920x1080,RGBA
social/social-profile-avatar-1080x1080.png,1273663,1080x1080,RGBA
social/twitter-header-1500x500.png,218372,1500x500,RGBA
social/twitter-summary-large-image-1200x675.png,893273,1200x675,RGBA
social/youtube-channel-art-2560x1440.png,354685,2560x1440,RGBA
source/4626fun-horizontal-checkerboard-source.png,2295719,2048x1152,RGBA
source/4626fun-horizontal-light-source.png,3022996,2048x1152,RGBA
